Year,Month,Month-number,Data_Item,Value,Units
2008,September,9,Pork retail value,302.6102764,Cents per pound of retail equivalent
2008,October,10,Pork retail value,301.6976337,Cents per pound of retail equivalent
2008,November,11,Pork retail value,300.2620662,Cents per pound of retail equivalent
2008,December,12,Pork retail value,300.5234102,Cents per pound of retail equivalent
2009,January,1,Pork retail value,299.6364416,Cents per pound of retail equivalent
2009,February,2,Pork retail value,296.1249516,Cents per pound of retail equivalent
2009,March,3,Pork retail value,294.2435799,Cents per pound of retail equivalent
2009,April,4,Pork retail value,291.3925386,Cents per pound of retail equivalent
2009,May,5,Pork retail value,295.4061866,Cents per pound of retail equivalent
2009,June,6,Pork retail value,295.3880413,Cents per pound of retail equivalent
2009,July,7,Pork retail value,295.7289461,Cents per pound of retail equivalent
2009,August,8,Pork retail value,293.3731501,Cents per pound of retail equivalent
2009,September,9,Pork retail value,290.6013346,Cents per pound of retail equivalent
2009,October,10,Pork retail value,288.0054108,Cents per pound of retail equivalent
2009,November,11,Pork retail value,281.7846457,Cents per pound of retail equivalent
2009,December,12,Pork retail value,281.9989905,Cents per pound of retail equivalent
2010,January,1,Pork retail value,287.7738997,Cents per pound of retail equivalent
2010,February,2,Pork retail value,291.7120653,Cents per pound of retail equivalent
2010,March,3,Pork retail value,291.428439,Cents per pound of retail equivalent
2010,April,4,Pork retail value,291.873045,Cents per pound of retail equivalent
2010,May,5,Pork retail value,304.3033584,Cents per pound of retail equivalent
2010,June,6,Pork retail value,310.3659545,Cents per pound of retail equivalent
2010,July,7,Pork retail value,318.5218814,Cents per pound of retail equivalent
2010,August,8,Pork retail value,323.1596133,Cents per pound of retail equivalent
2010,September,9,Pork retail value,329.9539181,Cents per pound of retail equivalent
2010,October,10,Pork retail value,336.2596904,Cents per pound of retail equivalent
2010,November,11,Pork retail value,331.9702993,Cents per pound of retail equivalent
2010,December,12,Pork retail value,318.8436074,Cents per pound of retail equivalent
2011,January,1,Pork retail value,324.1326281,Cents per pound of retail equivalent
2011,February,2,Pork retail value,328.316399,Cents per pound of retail equivalent
2011,March,3,Pork retail value,335.7412647,Cents per pound of retail equivalent
2011,April,4,Pork retail value,337.6612727,Cents per pound of retail equivalent
2011,May,5,Pork retail value,348.4136136,Cents per pound of retail equivalent
2011,June,6,Pork retail value,348.1080342,Cents per pound of retail equivalent
2011,July,7,Pork retail value,346.5909456,Cents per pound of retail equivalent
2011,August,8,Pork retail value,351.1705398,Cents per pound of retail equivalent
2011,September,9,Pork retail value,356.1479737,Cents per pound of retail equivalent
2011,October,10,Pork retail value,346.8152333,Cents per pound of retail equivalent
2011,November,11,Pork retail value,351.0688405,Cents per pound of retail equivalent
2011,December,12,Pork retail value,346.0708284,Cents per pound of retail equivalent
2012,January,1,Pork retail value,349.5048757,Cents per pound of retail equivalent
2012,February,2,Pork retail value,349.4626702,Cents per pound of retail equivalent
2012,March,3,Pork retail value,348.9949735,Cents per pound of retail equivalent
2012,April,4,Pork retail value,345.9474925,Cents per pound of retail equivalent
2012,May,5,Pork retail value,340.7963372,Cents per pound of retail equivalent
2012,June,6,Pork retail value,339.6843474,Cents per pound of retail equivalent
2012,July,7,Pork retail value,343.4385502,Cents per pound of retail equivalent
2012,August,8,Pork retail value,352.6426241,Cents per pound of retail equivalent
2012,September,9,Pork retail value,350.7313179,Cents per pound of retail equivalent
2012,October,10,Pork retail value,348.4244737,Cents per pound of retail equivalent
2012,November,11,Pork retail value,347.8306091,Cents per pound of retail equivalent
2012,December,12,Pork retail value,342.6591294,Cents per pound of retail equivalent
2013,January,1,Pork retail value,345.1067009,Cents per pound of retail equivalent
2013,February,2,Pork retail value,349.0771989,Cents per pound of retail equivalent
2013,March,3,Pork retail value,351.7112717,Cents per pound of retail equivalent
2013,April,4,Pork retail value,350.6931332,Cents per pound of retail equivalent
2013,May,5,Pork retail value,355.2574239,Cents per pound of retail equivalent
2013,June,6,Pork retail value,361.6567522,Cents per pound of retail equivalent
2013,July,7,Pork retail value,369.5673624,Cents per pound of retail equivalent
2013,August,8,Pork retail value,375.7369077,Cents per pound of retail equivalent
2013,September,9,Pork retail value,379.2152715,Cents per pound of retail equivalent
2013,October,10,Pork retail value,380.9327793,Cents per pound of retail equivalent
2013,November,11,Pork retail value,377.6061338,Cents per pound of retail equivalent
2013,December,12,Pork retail value,376.1305073,Cents per pound of retail equivalent
2014,January,1,Pork retail value,375.7644496,Cents per pound of retail equivalent
2014,February,2,Pork retail value,372.6753042,Cents per pound of retail equivalent
2014,March,3,Pork retail value,383.0358297,Cents per pound of retail equivalent
2014,April,4,Pork retail value,394.9975304,Cents per pound of retail equivalent
2014,May,5,Pork retail value,409.9182074,Cents per pound of retail equivalent
2014,June,6,Pork retail value,411.5613675,Cents per pound of retail equivalent
2014,July,7,Pork retail value,412.6859057,Cents per pound of retail equivalent
2014,August,8,Pork retail value,419.9773116,Cents per pound of retail equivalent
2014,September,9,Pork retail value,421.549141,Cents per pound of retail equivalent
2014,October,10,Pork retail value,414.8504969,Cents per pound of retail equivalent
2014,November,11,Pork retail value,406.3854714,Cents per pound of retail equivalent
2014,December,12,Pork retail value,399.1127533,Cents per pound of retail equivalent
2015,January,1,Pork retail value,398.9436519,Cents per pound of retail equivalent
2015,February,2,Pork retail value,394.1158833,Cents per pound of retail equivalent
2015,March,3,Pork retail value,387.4270851,Cents per pound of retail equivalent
2015,April,4,Pork retail value,376.9281358,Cents per pound of retail equivalent
2015,May,5,Pork retail value,369.5863223,Cents per pound of retail equivalent
2015,June,6,Pork retail value,370.3272449,Cents per pound of retail equivalent
2015,July,7,Pork retail value,376.9481988,Cents per pound of retail equivalent
2015,August,8,Pork retail value,383.4090976,Cents per pound of retail equivalent
2015,September,9,Pork retail value,391.923231,Cents per pound of retail equivalent
2015,October,10,Pork retail value,397.2622588,Cents per pound of retail equivalent
2015,November,11,Pork retail value,391.7184098,Cents per pound of retail equivalent
2015,December,12,Pork retail value,384.5780679,Cents per pound of retail equivalent
2016,January,1,Pork retail value,379.3409782,Cents per pound of retail equivalent
2016,February,2,Pork retail value,373.8349385,Cents per pound of retail equivalent
2016,March,3,Pork retail value,375.9756756,Cents per pound of retail equivalent
2016,April,4,Pork retail value,379.8634738,Cents per pound of retail equivalent
2016,May,5,Pork retail value,378.0866208,Cents per pound of retail equivalent
2016,June,6,Pork retail value,376.9816466,Cents per pound of retail equivalent
2016,July,7,Pork retail value,378.1378458,Cents per pound of retail equivalent
2016,August,8,Pork retail value,379.8050309,Cents per pound of retail equivalent
2016,September,9,Pork retail value,378.8923982,Cents per pound of retail equivalent
2016,October,10,Pork retail value,374.3201008,Cents per pound of retail equivalent
2016,November,11,Pork retail value,362.5408353,Cents per pound of retail equivalent
2016,December,12,Pork retail value,358.3122098,Cents per pound of retail equivalent
2017,January,1,Pork retail value,357.0141506,Cents per pound of retail equivalent
2017,February,2,Pork retail value,364.317288,Cents per pound of retail equivalent
2017,March,3,Pork retail value,377.9861098,Cents per pound of retail equivalent
2017,April,4,Pork retail value,374.7093793,Cents per pound of retail equivalent
2017,May,5,Pork retail value,372.7683638,Cents per pound of retail equivalent
2017,June,6,Pork retail value,375.5833622,Cents per pound of retail equivalent
2017,July,7,Pork retail value,383.2853592,Cents per pound of retail equivalent
2017,August,8,Pork retail value,393.5098024,Cents per pound of retail equivalent
2017,September,9,Pork retail value,398.5390685,Cents per pound of retail equivalent
2017,October,10,Pork retail value,390.6707778,Cents per pound of retail equivalent
2017,November,11,Pork retail value,378.6167096,Cents per pound of retail equivalent
2017,December,12,Pork retail value,374.0465926,Cents per pound of retail equivalent
2018,January,1,Pork retail value,374.9884949,Cents per pound of retail equivalent
2018,February,2,Pork retail value,373.957951,Cents per pound of retail equivalent
2018,March,3,Pork retail value,375.2661886,Cents per pound of retail equivalent
2018,April,4,Pork retail value,375.2335927,Cents per pound of retail equivalent
2018,May,5,Pork retail value,374.0835059,Cents per pound of retail equivalent
2018,June,6,Pork retail value,369.6545803,Cents per pound of retail equivalent
2018,July,7,Pork retail value,373.0664894,Cents per pound of retail equivalent
2018,August,8,Pork retail value,381.6542382,Cents per pound of retail equivalent
2018,September,9,Pork retail value,378.5113266,Cents per pound of retail equivalent
2018,October,10,Pork retail value,372.6879997,Cents per pound of retail equivalent
2018,November,11,Pork retail value,370.0520056,Cents per pound of retail equivalent
2018,December,12,Pork retail value,373.9808854,Cents per pound of retail equivalent
2019,January,1,Pork retail value,371.4021032,Cents per pound of retail equivalent
2019,February,2,Pork retail value,373.1427471,Cents per pound of retail equivalent
2019,March,3,Pork retail value,379.9471741,Cents per pound of retail equivalent
2019,April,4,Pork retail value,378.7478393,Cents per pound of retail equivalent
2019,May,5,Pork retail value,388.2637659,Cents per pound of retail equivalent
2019,June,6,Pork retail value,391.9982035,Cents per pound of retail equivalent
2019,July,7,Pork retail value,392.6818926,Cents per pound of retail equivalent
2019,August,8,Pork retail value,389.5896599,Cents per pound of retail equivalent
2019,September,9,Pork retail value,387.9179916,Cents per pound of retail equivalent
2019,October,10,Pork retail value,391.1513773,Cents per pound of retail equivalent
2019,November,11,Pork retail value,386.023157,Cents per pound of retail equivalent
2019,December,12,Pork retail value,381.0940497,Cents per pound of retail equivalent
2020,January,1,Pork retail value,383.7406269,Cents per pound of retail equivalent
2020,February,2,Pork retail value,386.4326316,Cents per pound of retail equivalent
2020,March,3,Pork retail value,384.5503812,Cents per pound of retail equivalent
2020,April,4,Pork retail value,389.2816759,Cents per pound of retail equivalent
2020,May,5,Pork retail value,404.8498448,Cents per pound of retail equivalent
2020,June,6,Pork retail value,424.5116344,Cents per pound of retail equivalent
2020,July,7,Pork retail value,417.8817649,Cents per pound of retail equivalent
2020,August,8,Pork retail value,408.4428572,Cents per pound of retail equivalent
2020,September,9,Pork retail value,405.2804083,Cents per pound of retail equivalent
2020,October,10,Pork retail value,408.420294,Cents per pound of retail equivalent
2020,November,11,Pork retail value,409.845874,Cents per pound of retail equivalent
2020,December,12,Pork retail value,411.9527354,Cents per pound of retail equivalent
2021,January,1,Pork retail value,412.2249316,Cents per pound of retail equivalent
2021,February,2,Pork retail value,415.326747,Cents per pound of retail equivalent
2021,March,3,Pork retail value,416.5238857,Cents per pound of retail equivalent
2021,April,4,Pork retail value,432.3124585,Cents per pound of retail equivalent
2021,May,5,Pork retail value,438.430959,Cents per pound of retail equivalent
2021,June,6,Pork retail value,454.589555,Cents per pound of retail equivalent
2021,July,7,Pork retail value,460.1641764,Cents per pound of retail equivalent
2021,August,8,Pork retail value,465.0463825,Cents per pound of retail equivalent
2021,September,9,Pork retail value,471.5529607,Cents per pound of retail equivalent
2021,October,10,Pork retail value,481.6049241,Cents per pound of retail equivalent
2021,November,11,Pork retail value,482.3176387,Cents per pound of retail equivalent
2021,December,12,Pork retail value,473.6853251,Cents per pound of retail equivalent
2022,January,1,Pork retail value,475.3412611,Cents per pound of retail equivalent
2022,February,2,Pork retail value,476.457911,Cents per pound of retail equivalent
2022,March,3,Pork retail value,483.6206226,Cents per pound of retail equivalent
2022,April,4,Pork retail value,488.5021194,Cents per pound of retail equivalent
2022,May,5,Pork retail value,488.610898,Cents per pound of retail equivalent
2022,June,6,Pork retail value,493.0713639,Cents per pound of retail equivalent
2022,July,7,Pork retail value,494.3744033,Cents per pound of retail equivalent
2022,August,8,Pork retail value,494.40638,Cents per pound of retail equivalent
2022,September,9,Pork retail value,499.9920932,Cents per pound of retail equivalent
2022,October,10,Pork retail value,504.6584785,Cents per pound of retail equivalent
2022,November,11,Pork retail value,494.5188132,Cents per pound of retail equivalent
2022,December,12,Pork retail value,482.9019373,Cents per pound of retail equivalent
2023,January,1,Pork retail value,478.726053,Cents per pound of retail equivalent
2023,February,2,Pork retail value,476.9622989,Cents per pound of retail equivalent
2023,March,3,Pork retail value,475.6414571,Cents per pound of retail equivalent
2023,April,4,Pork retail value,472.697797,Cents per pound of retail equivalent
2023,May,5,Pork retail value,472.758371,Cents per pound of retail equivalent
2023,June,6,Pork retail value,468.442891,Cents per pound of retail equivalent
2023,July,7,Pork retail value,470.4448852,Cents per pound of retail equivalent
2023,August,8,Pork retail value,483.4466774,Cents per pound of retail equivalent
2023,September,9,Pork retail value,497.6303915,Cents per pound of retail equivalent
2023,October,10,Pork retail value,504.2876372,Cents per pound of retail equivalent
2023,November,11,Pork retail value,487.9615318,Cents per pound of retail equivalent
2023,December,12,Pork retail value,481.6242818,Cents per pound of retail equivalent
2024,January,1,Pork retail value,478.650057,Cents per pound of retail equivalent
2024,February,2,Pork retail value,476.1482946,Cents per pound of retail equivalent
2024,March,3,Pork retail value,479.3094,Cents per pound of retail equivalent
2024,April,4,Pork retail value,481.4099593,Cents per pound of retail equivalent
2024,May,5,Pork retail value,491.8904125,Cents per pound of retail equivalent
2024,June,6,Pork retail value,488.0330061,Cents per pound of retail equivalent
2024,July,7,Pork retail value,492.1513712,Cents per pound of retail equivalent
2024,August,8,Pork retail value,489.8491004,Cents per pound of retail equivalent
2024,September,9,Pork retail value,495.3961154,Cents per pound of retail equivalent
2024,October,10,Pork retail value,492.0212958,Cents per pound of retail equivalent
2024,November,11,Pork retail value,494.9438453,Cents per pound of retail equivalent
2024,December,12,Pork retail value,488.3068661,Cents per pound of retail equivalent
1970,January,1,Pork farm to retail price spread,33.4,Cents per pound of retail equivalent
1970,February,2,Pork farm to retail price spread,31.9,Cents per pound of retail equivalent
1970,March,3,Pork farm to retail price spread,35.9,Cents per pound of retail equivalent
1970,April,4,Pork farm to retail price spread,37.7,Cents per pound of retail equivalent
1970,May,5,Pork farm to retail price spread,38.2,Cents per pound of retail equivalent
1970,June,6,Pork farm to retail price spread,37.2,Cents per pound of retail equivalent
1970,July,7,Pork farm to retail price spread,35.8,Cents per pound of retail equivalent
1970,August,8,Pork farm to retail price spread,40.5,Cents per pound of retail equivalent
1970,September,9,Pork farm to retail price spread,40.7,Cents per pound of retail equivalent
1970,October,10,Pork farm to retail price spread,42.9,Cents per pound of retail equivalent
1970,November,11,Pork farm to retail price spread,42.8,Cents per pound of retail equivalent
1970,December,12,Pork farm to retail price spread,40.3,Cents per pound of retail equivalent
1971,January,1,Pork farm to retail price spread,39.8,Cents per pound of retail equivalent
1971,February,2,Pork farm to retail price spread,35.5,Cents per pound of retail equivalent
1971,March,3,Pork farm to retail price spread,40,Cents per pound of retail equivalent
1971,April,4,Pork farm to retail price spread,40.4,Cents per pound of retail equivalent
1971,May,5,Pork farm to retail price spread,37.7,Cents per pound of retail equivalent
1971,June,6,Pork farm to retail price spread,37.4,Cents per pound of retail equivalent
1971,July,7,Pork farm to retail price spread,36.7,Cents per pound of retail equivalent
1971,August,8,Pork farm to retail price spread,38.4,Cents per pound of retail equivalent
1971,September,9,Pork farm to retail price spread,37.9,Cents per pound of retail equivalent
1971,October,10,Pork farm to retail price spread,36.6,Cents per pound of retail equivalent
1971,November,11,Pork farm to retail price spread,37.3,Cents per pound of retail equivalent
1971,December,12,Pork farm to retail price spread,35.9,Cents per pound of retail equivalent
1972,January,1,Pork farm to retail price spread,33,Cents per pound of retail equivalent
1972,February,2,Pork farm to retail price spread,36.6,Cents per pound of retail equivalent
1972,March,3,Pork farm to retail price spread,38.3,Cents per pound of retail equivalent
1972,April,4,Pork farm to retail price spread,38.5,Cents per pound of retail equivalent
1972,May,5,Pork farm to retail price spread,35.3,Cents per pound of retail equivalent
1972,June,6,Pork farm to retail price spread,35.5,Cents per pound of retail equivalent
1972,July,7,Pork farm to retail price spread,35.9,Cents per pound of retail equivalent
1972,August,8,Pork farm to retail price spread,35.9,Cents per pound of retail equivalent
1972,September,9,Pork farm to retail price spread,35.8,Cents per pound of retail equivalent
1972,October,10,Pork farm to retail price spread,38.6,Cents per pound of retail equivalent
1972,November,11,Pork farm to retail price spread,38.8,Cents per pound of retail equivalent
1972,December,12,Pork farm to retail price spread,34.7,Cents per pound of retail equivalent
1973,January,1,Pork farm to retail price spread,38.1,Cents per pound of retail equivalent
1973,February,2,Pork farm to retail price spread,35.2,Cents per pound of retail equivalent
1973,March,3,Pork farm to retail price spread,38.3,Cents per pound of retail equivalent
1973,April,4,Pork farm to retail price spread,43.4,Cents per pound of retail equivalent
1973,May,5,Pork farm to retail price spread,41.2,Cents per pound of retail equivalent
1973,June,6,Pork farm to retail price spread,39.4,Cents per pound of retail equivalent
1973,July,7,Pork farm to retail price spread,29.2,Cents per pound of retail equivalent
1973,August,8,Pork farm to retail price spread,37.5,Cents per pound of retail equivalent
1973,September,9,Pork farm to retail price spread,53.1,Cents per pound of retail equivalent
1973,October,10,Pork farm to retail price spread,47.2,Cents per pound of retail equivalent
1973,November,11,Pork farm to retail price spread,46.9,Cents per pound of retail equivalent
1973,December,12,Pork farm to retail price spread,49.1,Cents per pound of retail equivalent
1974,January,1,Pork farm to retail price spread,50.1,Cents per pound of retail equivalent
1974,February,2,Pork farm to retail price spread,52.9,Cents per pound of retail equivalent
1974,March,3,Pork farm to retail price spread,55.4,Cents per pound of retail equivalent
1974,April,4,Pork farm to retail price spread,55,Cents per pound of retail equivalent
1974,May,5,Pork farm to retail price spread,56.8,Cents per pound of retail equivalent
1974,June,6,Pork farm to retail price spread,48.7,Cents per pound of retail equivalent
1974,July,7,Pork farm to retail price spread,44.9,Cents per pound of retail equivalent
1974,August,8,Pork farm to retail price spread,47.5,Cents per pound of retail equivalent
1974,September,9,Pork farm to retail price spread,51.6,Cents per pound of retail equivalent
1974,October,10,Pork farm to retail price spread,46.5,Cents per pound of retail equivalent
1974,November,11,Pork farm to retail price spread,49.8,Cents per pound of retail equivalent
1974,December,12,Pork farm to retail price spread,48.1,Cents per pound of retail equivalent
1975,January,1,Pork farm to retail price spread,51.3,Cents per pound of retail equivalent
1975,February,2,Pork farm to retail price spread,50.4,Cents per pound of retail equivalent
1975,March,3,Pork farm to retail price spread,49.5,Cents per pound of retail equivalent
1975,April,4,Pork farm to retail price spread,49.7,Cents per pound of retail equivalent
1975,May,5,Pork farm to retail price spread,47.1,Cents per pound of retail equivalent
1975,June,6,Pork farm to retail price spread,46.9,Cents per pound of retail equivalent
1975,July,7,Pork farm to retail price spread,50.5,Cents per pound of retail equivalent
1975,August,8,Pork farm to retail price spread,55.2,Cents per pound of retail equivalent
1975,September,9,Pork farm to retail price spread,53.6,Cents per pound of retail equivalent
1975,October,10,Pork farm to retail price spread,63.2,Cents per pound of retail equivalent
1975,November,11,Pork farm to retail price spread,72.5,Cents per pound of retail equivalent
1975,December,12,Pork farm to retail price spread,67.4,Cents per pound of retail equivalent
1976,January,1,Pork farm to retail price spread,65.5,Cents per pound of retail equivalent
1976,February,2,Pork farm to retail price spread,62.4,Cents per pound of retail equivalent
1976,March,3,Pork farm to retail price spread,62.8,Cents per pound of retail equivalent
1976,April,4,Pork farm to retail price spread,58.7,Cents per pound of retail equivalent
1976,May,5,Pork farm to retail price spread,59,Cents per pound of retail equivalent
1976,June,6,Pork farm to retail price spread,57.6,Cents per pound of retail equivalent
1976,July,7,Pork farm to retail price spread,63.8,Cents per pound of retail equivalent
1976,August,8,Pork farm to retail price spread,66.2,Cents per pound of retail equivalent
1976,September,9,Pork farm to retail price spread,68.7,Cents per pound of retail equivalent
1976,October,10,Pork farm to retail price spread,71.7,Cents per pound of retail equivalent
1976,November,11,Pork farm to retail price spread,65.4,Cents per pound of retail equivalent
1976,December,12,Pork farm to retail price spread,55.3,Cents per pound of retail equivalent
1977,January,1,Pork farm to retail price spread,56.7,Cents per pound of retail equivalent
1977,February,2,Pork farm to retail price spread,57.4,Cents per pound of retail equivalent
1977,March,3,Pork farm to retail price spread,61.6,Cents per pound of retail equivalent
1977,April,4,Pork farm to retail price spread,60.5,Cents per pound of retail equivalent
1977,May,5,Pork farm to retail price spread,54.8,Cents per pound of retail equivalent
1977,June,6,Pork farm to retail price spread,55.9,Cents per pound of retail equivalent
1977,July,7,Pork farm to retail price spread,59.3,Cents per pound of retail equivalent
1977,August,8,Pork farm to retail price spread,59.6,Cents per pound of retail equivalent
1977,September,9,Pork farm to retail price spread,64.8,Cents per pound of retail equivalent
1977,October,10,Pork farm to retail price spread,61.8,Cents per pound of retail equivalent
1977,November,11,Pork farm to retail price spread,64.7,Cents per pound of retail equivalent
1977,December,12,Pork farm to retail price spread,60.2,Cents per pound of retail equivalent
1978,January,1,Pork farm to retail price spread,60.8,Cents per pound of retail equivalent
1978,February,2,Pork farm to retail price spread,60.6,Cents per pound of retail equivalent
1978,March,3,Pork farm to retail price spread,64.4,Cents per pound of retail equivalent
1978,April,4,Pork farm to retail price spread,68.9,Cents per pound of retail equivalent
1978,May,5,Pork farm to retail price spread,63.7,Cents per pound of retail equivalent
1978,June,6,Pork farm to retail price spread,68.1,Cents per pound of retail equivalent
1978,July,7,Pork farm to retail price spread,70.3,Cents per pound of retail equivalent
1978,August,8,Pork farm to retail price spread,67.6,Cents per pound of retail equivalent
1978,September,9,Pork farm to retail price spread,66.9,Cents per pound of retail equivalent
1978,October,10,Pork farm to retail price spread,66.8,Cents per pound of retail equivalent
1978,November,11,Pork farm to retail price spread,73.8,Cents per pound of retail equivalent
1978,December,12,Pork farm to retail price spread,72,Cents per pound of retail equivalent
1979,January,1,Pork farm to retail price spread,66.25656941,Cents per pound of retail equivalent
1979,February,2,Pork farm to retail price spread,66.17385176,Cents per pound of retail equivalent
1979,March,3,Pork farm to retail price spread,75.89482706,Cents per pound of retail equivalent
1979,April,4,Pork farm to retail price spread,76.03602471,Cents per pound of retail equivalent
1979,May,5,Pork farm to retail price spread,77.67446588,Cents per pound of retail equivalent
1979,June,6,Pork farm to retail price spread,78.51701176,Cents per pound of retail equivalent
1979,July,7,Pork farm to retail price spread,78.75594,Cents per pound of retail equivalent
1979,August,8,Pork farm to retail price spread,73.42080471,Cents per pound of retail equivalent
1979,September,9,Pork farm to retail price spread,72.26076588,Cents per pound of retail equivalent
1979,October,10,Pork farm to retail price spread,78.39752588,Cents per pound of retail equivalent
1979,November,11,Pork farm to retail price spread,72.58993412,Cents per pound of retail equivalent
1979,December,12,Pork farm to retail price spread,72.83547882,Cents per pound of retail equivalent
1980,January,1,Pork farm to retail price spread,73.64208118,Cents per pound of retail equivalent
1980,February,2,Pork farm to retail price spread,71.52338118,Cents per pound of retail equivalent
1980,March,3,Pork farm to retail price spread,77.98940235,Cents per pound of retail equivalent
1980,April,4,Pork farm to retail price spread,81.57404,Cents per pound of retail equivalent
1980,May,5,Pork farm to retail price spread,75.96506353,Cents per pound of retail equivalent
1980,June,6,Pork farm to retail price spread,66.38586235,Cents per pound of retail equivalent
1980,July,7,Pork farm to retail price spread,63.92216706,Cents per pound of retail equivalent
1980,August,8,Pork farm to retail price spread,64.32301647,Cents per pound of retail equivalent
1980,September,9,Pork farm to retail price spread,72.29338235,Cents per pound of retail equivalent
1980,October,10,Pork farm to retail price spread,72.19786706,Cents per pound of retail equivalent
1980,November,11,Pork farm to retail price spread,79.60319647,Cents per pound of retail equivalent
1980,December,12,Pork farm to retail price spread,79.32926235,Cents per pound of retail equivalent
1981,January,1,Pork farm to retail price spread,83.16642118,Cents per pound of retail equivalent
1981,February,2,Pork farm to retail price spread,77.93235647,Cents per pound of retail equivalent
1981,March,3,Pork farm to retail price spread,81.10890118,Cents per pound of retail equivalent
1981,April,4,Pork farm to retail price spread,77.17282588,Cents per pound of retail equivalent
1981,May,5,Pork farm to retail price spread,75.39473294,Cents per pound of retail equivalent
1981,June,6,Pork farm to retail price spread,64.03361529,Cents per pound of retail equivalent
1981,July,7,Pork farm to retail price spread,68.81242235,Cents per pound of retail equivalent
1981,August,8,Pork farm to retail price spread,72.78071059,Cents per pound of retail equivalent
1981,September,9,Pork farm to retail price spread,76.69576353,Cents per pound of retail equivalent
1981,October,10,Pork farm to retail price spread,85.29009882,Cents per pound of retail equivalent
1981,November,11,Pork farm to retail price spread,88.85656941,Cents per pound of retail equivalent
1981,December,12,Pork farm to retail price spread,91.9231,Cents per pound of retail equivalent
1982,January,1,Pork farm to retail price spread,82.07051059,Cents per pound of retail equivalent
1982,February,2,Pork farm to retail price spread,77.97880118,Cents per pound of retail equivalent
1982,March,3,Pork farm to retail price spread,78.84937647,Cents per pound of retail equivalent
1982,April,4,Pork farm to retail price spread,75.25766941,Cents per pound of retail equivalent
1982,May,5,Pork farm to retail price spread,71.30840471,Cents per pound of retail equivalent
1982,June,6,Pork farm to retail price spread,75.45022706,Cents per pound of retail equivalent
1982,July,7,Pork farm to retail price spread,79.87617529,Cents per pound of retail equivalent
1982,August,8,Pork farm to retail price spread,76.52130471,Cents per pound of retail equivalent
1982,September,9,Pork farm to retail price spread,83.96221765,Cents per pound of retail equivalent
1982,October,10,Pork farm to retail price spread,95.90557059,Cents per pound of retail equivalent
1982,November,11,Pork farm to retail price spread,97.48067882,Cents per pound of retail equivalent
1982,December,12,Pork farm to retail price spread,90.63116235,Cents per pound of retail equivalent
1983,January,1,Pork farm to retail price spread,89.35407059,Cents per pound of retail equivalent
1983,February,2,Pork farm to retail price spread,85.47123059,Cents per pound of retail equivalent
1983,March,3,Pork farm to retail price spread,95.72329765,Cents per pound of retail equivalent
1983,April,4,Pork farm to retail price spread,95.08188118,Cents per pound of retail equivalent
1983,May,5,Pork farm to retail price spread,92.71560706,Cents per pound of retail equivalent
1983,June,6,Pork farm to retail price spread,92.14844824,Cents per pound of retail equivalent
1983,July,7,Pork farm to retail price spread,90.35254824,Cents per pound of retail equivalent
1983,August,8,Pork farm to retail price spread,83.23288941,Cents per pound of retail equivalent
1983,September,9,Pork farm to retail price spread,88.34762353,Cents per pound of retail equivalent
1983,October,10,Pork farm to retail price spread,93.76802118,Cents per pound of retail equivalent
1983,November,11,Pork farm to retail price spread,94.96500235,Cents per pound of retail equivalent
1983,December,12,Pork farm to retail price spread,77.37039294,Cents per pound of retail equivalent
1984,January,1,Pork farm to retail price spread,78.45417529,Cents per pound of retail equivalent
1984,February,2,Pork farm to retail price spread,85.85085882,Cents per pound of retail equivalent
1984,March,3,Pork farm to retail price spread,81.48454471,Cents per pound of retail equivalent
1984,April,4,Pork farm to retail price spread,79.68009176,Cents per pound of retail equivalent
1984,May,5,Pork farm to retail price spread,78.87664235,Cents per pound of retail equivalent
1984,June,6,Pork farm to retail price spread,75.12438588,Cents per pound of retail equivalent
1984,July,7,Pork farm to retail price spread,70.66862706,Cents per pound of retail equivalent
1984,August,8,Pork farm to retail price spread,78.62713176,Cents per pound of retail equivalent
1984,September,9,Pork farm to retail price spread,84.93305647,Cents per pound of retail equivalent
1984,October,10,Pork farm to retail price spread,90.94736353,Cents per pound of retail equivalent
1984,November,11,Pork farm to retail price spread,81.75854118,Cents per pound of retail equivalent
1984,December,12,Pork farm to retail price spread,79.45308706,Cents per pound of retail equivalent
1985,January,1,Pork farm to retail price spread,83.9452804,Cents per pound of retail equivalent
1985,February,2,Pork farm to retail price spread,84.1204654,Cents per pound of retail equivalent
1985,March,3,Pork farm to retail price spread,92.4751768,Cents per pound of retail equivalent
1985,April,4,Pork farm to retail price spread,91.2470356,Cents per pound of retail equivalent
1985,May,5,Pork farm to retail price spread,88.24255,Cents per pound of retail equivalent
1985,June,6,Pork farm to retail price spread,80.656231,Cents per pound of retail equivalent
1985,July,7,Pork farm to retail price spread,87.1,Cents per pound of retail equivalent
1985,August,8,Pork farm to retail price spread,83.504119,Cents per pound of retail equivalent
1985,September,9,Pork farm to retail price spread,89.1967338,Cents per pound of retail equivalent
1985,October,10,Pork farm to retail price spread,86.54314,Cents per pound of retail equivalent
1985,November,11,Pork farm to retail price spread,88.8328778,Cents per pound of retail equivalent
1985,December,12,Pork farm to retail price spread,87.7423542,Cents per pound of retail equivalent
1986,January,1,Pork farm to retail price spread,93.2482818,Cents per pound of retail equivalent
1986,February,2,Pork farm to retail price spread,96.4461074,Cents per pound of retail equivalent
